TimeStamp;drop
11:20:37;1
11:20:37;1
11:20:37;1
11:20:37;1
11:20:37;1
11:20:37;1
11:20:37;1
11:20:37;1
11:20:37;1
11:20:58;1
11:20:58;1
11:20:58;1
11:20:58;1
11:20:58;1
11:20:58;1
11:20:58;1
11:22:51;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:23:2;1
11:25:5;1
11:25:5;1
11:25:5;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
11:25:16;1
